tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,250.0,200.0,40.0,40.16498500611191,38.971576281548984,1.030622541822306,4.449106675615262e-06,2023-05-31,0.03254313424034002,1.0
sharp,500.0,250.0,200.0,60.0,22.11022538320536,20.836108513290565,1.0611494641190837,5.954654629379358e-06,2023-05-31,0.06423627184018471,1.0
sharp,500.0,250.0,200.0,80.0,10.592426605786175,9.690149396625822,1.0931128274941284,8.888525173461519e-06,2023-05-31,0.09696324499626699,1.0
sharp,500.0,250.0,200.0,100.0,4.549052010569474,4.032420871262159,1.128119349592,1.4292111213288664e-05,2023-05-31,0.13233620853174108,1.0
sharp,500.0,250.0,200.0,120.0,1.76716960143574,1.510139658310073,1.1702027635068517,2.4344852480230337e-05,2023-05-31,0.174203316037938,1.0
sharp,500.0,250.0,200.0,140.0,0.6166898551959131,0.5033571833356308,1.2251535800269167,4.370204783116773e-05,2023-05-31,0.2277383321188971,1.0
sharp,500.0,250.0,200.0,160.0,0.18953424988944834,0.14552334605790415,1.3024319122928367,8.263129227446467e-05,2023-05-31,0.3004473922699249,1.0
sharp,500.0,250.0,200.0,180.0,0.05051636289096173,0.03584723574358115,1.4092122263571536,0.00016098819460223706,2023-05-31,0.39495158959060717,1.0
sharp,500.0,250.0,200.0,200.0,0.012193053181273795,0.007944719964216744,1.5347366850174293,0.0002858874670540795,2023-05-31,0.4970721478203587,1.0
sharp,500.0,250.0,200.0,220.0,0.002905693848046594,0.001646407102747885,1.7648696019331642,0.0003419920787249042,2023-05-31,0.6774501651924506,1.0
sharp,500.0,250.0,200.0,240.0,0.00040859733847454756,0.00014379640555597955,2.841498971373674,0.0001727027876534871,2023-05-31,0.9980982961129737,0.9726027397260274
sharp,500.0,250.0,200.0,260.0,6.436343766350848e-08,1.0591814809834814e-08,6.07671478581226,1.99399605166542e-06,2023-05-31,1.0,0.1917808219178082
sharp,500.0,250.0,200.0,280.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,300.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,320.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,340.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,360.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,380.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,400.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,420.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,440.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,460.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,480.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,1000.0,0.0,17.117489265716955,17.514087480343033,0.9773554736967484,1.0108742714358301e-05,2023-12-02,0.02379006735745909,1.0
sharp,500.0,250.0,1000.0,20.0,14.16892014068662,14.272318811442393,0.9927552998134489,1.0480029814295055e-05,2023-12-02,0.007358157511877662,1.0
sharp,500.0,250.0,1000.0,40.0,10.02247706721713,9.861720228123911,1.0163010950802243,1.2505997647466376e-05,2023-05-31,0.01749497817921058,1.0
sharp,500.0,250.0,1000.0,60.0,6.1056699666482555,5.856269158038765,1.0425869784805133,1.7029097791669892e-05,2023-05-31,0.04498073413345574,1.0
