source_id,kind,depth,ratio,g_noise,snr,med_flux_g,s_col,colour_testable,pre_existing_event,recovered,grey_class,coherence,tier
25954212492342784,dust,0.2189970329201912,1.7,0.06053167413855053,3.61789155903619,209.41224958246158,0.51410767219247,False,False,True,G_ONLY,MULTI,C
26068527341862912,grey,0.19182195941472127,1.0,0.18483868582439603,1.037780368104108,156.6761531932721,0.38246193682656204,False,False,False,,,
26068527341862912,dust,0.19182195941472127,1.7,0.18483868582439603,1.037780368104108,156.6761531932721,0.38246193682656204,False,False,False,,,
26197032762996224,grey,0.33846805141721364,1.0,0.055401183091320846,6.109401145085619,796.8368569536964,0.18401565977685028,False,False,True,G_ONLY,MULTI,C
26197032762996224,dust,0.33846805141721364,1.7,0.055401183091320846,6.109401145085619,796.8368569536964,0.18401565977685028,False,False,True,G_ONLY,MULTI,C
26309908799012352,grey,0.08519853189985037,1.0,0.03610383228935935,2.359819622942365,9255.240666719308,0.01640740905245998,False,False,False,,,
26309908799012352,dust,0.08519853189985037,1.7,0.03610383228935935,2.359819622942365,9255.240666719308,0.01640740905245998,False,False,False,,,
26410101796099968,grey,0.08464468752256257,1.0,0.1098456149110479,0.7705786670784006,1549.4214196914577,0.07617096389578464,False,False,False,,,
26410101796099968,dust,0.08464468752256257,1.7,0.1098456149110479,0.7705786670784006,1549.4214196914577,0.07617096389578464,False,False,False,,,
26538813376153344,grey,0.1856724204929998,1.0,0.029305651628079597,6.335720592375272,5906.774574556497,0.029708940315135015,False,False,True,GREY,MULTI,A
26538813376153344,dust,0.1856724204929998,1.7,0.029305651628079597,6.335720592375272,5906.774574556497,0.029708940315135015,False,False,True,CHROMATIC_BLUE,MULTI,C
26659862734487040,grey,0.2634575613304047,1.0,0.11428789462244773,2.305209682974228,4633.563444397106,0.06806972837657378,False,False,False,,,
26659862734487040,dust,0.2634575613304047,1.7,0.11428789462244773,2.305209682974228,4633.563444397106,0.06806972837657378,False,False,False,,,
26730467701482240,grey,0.05231615748065206,1.0,0.08870861995302459,0.5897528054021801,172.68250133178367,0.5078591871811001,False,False,False,,,
26730467701482240,dust,0.05231615748065206,1.7,0.08870861995302459,0.5897528054021801,172.68250133178367,0.5078591871811001,False,False,False,,,
26890481002685440,grey,0.08919779953433864,1.0,0.08636849965669151,1.0327584696838938,194.3848401289081,0.7057566309905273,False,False,False,,,
26890481002685440,dust,0.08919779953433864,1.7,0.08636849965669151,1.0327584696838938,194.3848401289081,0.7057566309905273,False,False,False,,,
27031291506117888,grey,0.08639317862804606,1.0,0.008644290412708215,9.994247590413785,19513.165320678032,0.008900340592405558,False,False,True,GREY,MULTI,A
